"충전량","날짜","T_1","T_2","T_3","T_4","T_5","T_6","적정기온"
14.09,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
10.21,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
3.46,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
34.41,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
51.1,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
11.22,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
6.32,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
10.6,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
13.37,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
30.45,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
46.78,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
15.9,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
19.48,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
11.1,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
11.5,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
8.6,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
7.9,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
7.82,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
15.25,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
6.42,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
18.65,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
23.7,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
1.02,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
10.83,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
51.24,"2021-01-01 13:00",-1.8,-2.6,-3.5,-4.1,-4.1,-4.1,-2.2
