"","날짜","충전량_합","T_1","T_2","T_3","T_4","T_5","T_6","T_7","T_8","T_9","T_10","T_11","T_12"
"1","2021-06-27 13:00",5.69,28.6,26.8,25.6,23.7,22.4,21.7,20.8,20.8,21.1,21.4,21.7,22
"2","2021-06-30 15:00",38.2,24.5,23.6,26.8,26.7,25.3,24.1,23.3,22.5,22,21.8,22,22.5
"3","2021-06-30 16:00",61.58,25.4,24.5,23.6,26.8,26.7,25.3,24.1,23.3,22.5,22,21.8,22
"4","2021-07-01 13:00",1107.37,30.3,28.6,27,25.2,23.9,22.9,22.1,22.3,22.7,23.3,24,24.4
"5","2021-07-01 14:00",1278.21,31.2,30.3,28.6,27,25.2,23.9,22.9,22.1,22.3,22.7,23.3,24
"6","2021-07-01 15:00",1703.084,31.5,31.2,30.3,28.6,27,25.2,23.9,22.9,22.1,22.3,22.7,23.3
"7","2021-07-01 16:00",1428.61,32,31.5,31.2,30.3,28.6,27,25.2,23.9,22.9,22.1,22.3,22.7
"8","2021-07-02 13:00",1270.185,29.2,27.3,26.8,25.8,25.7,25.2,24.8,25.1,25.2,25.4,25.7,26.4
"9","2021-07-02 14:00",1032.75,30.7,29.2,27.3,26.8,25.8,25.7,25.2,24.8,25.1,25.2,25.4,25.7
"10","2021-07-02 15:00",1621.95,31.6,30.7,29.2,27.3,26.8,25.8,25.7,25.2,24.8,25.1,25.2,25.4
"11","2021-07-02 16:00",1876.825,32.5,31.6,30.7,29.2,27.3,26.8,25.8,25.7,25.2,24.8,25.1,25.2
"12","2021-07-03 13:00",1798.34,26.8,26.3,26,24.6,23.4,23.3,23.4,23.7,24.2,24.6,25.3,26
"13","2021-07-03 14:00",1231.58,26.8,26.8,26.3,26,24.6,23.4,23.3,23.4,23.7,24.2,24.6,25.3
"14","2021-07-03 15:00",1807.73,26.7,26.8,26.8,26.3,26,24.6,23.4,23.3,23.4,23.7,24.2,24.6
"15","2021-07-03 16:00",1305.64,26.8,26.7,26.8,26.8,26.3,26,24.6,23.4,23.3,23.4,23.7,24.2
"16","2021-07-04 13:00",1379.69,22.9,22.8,22.6,22.3,22.4,22.2,21.8,21.5,21.3,21.1,20.8,20.7
